label,v1,v2,v3,v4,v5,v6
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.5415,-0.3773,-0.0957,0.0299,1.6511,1.1812
nominal,0.5825,1.025,-0.231,1.0945,1.1846,1.0258
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,1.9291,-0.3773,-0.2761,-0.8596,-0.3779,-0.9457
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,0.2139,-0.1119,0.31,0.0801,0.4092,1.3183
nominal,0.6838,-0.4525,-0.0957,-0.8596,-0.3779,-0.9457
nominal,0.3918,-0.1915,-0.2761,-0.8596,-0.3779,-0.9457
nominal,2.3703,-0.4525,-0.5465,-0.8596,-0.3779,-0.9457
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.1103,-0.395,-0.0507,-0.8596,-0.3779,-0.9457
nominal,-0.3416,-0.4392,1.1665,-0.8596,-0.3779,-0.9457
nominal,0.3049,-0.28,-0.3662,0.7118,1.3515,1.0075
nominal,-0.4375,-0.4348,-0.0957,0.5257,2.6224,1.6443
nominal,0.1008,-0.3242,0.0846,-0.8596,-0.3779,-0.9457
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,0.1729,-0.0588,0.2649,0.3759,-0.3779,1.1994
nominal,0.4743,0.3526,-0.1408,0.3789,2.4232,0.8856
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,0.2839,1.2373,1.1665,0.9291,-0.1559,0.8825
nominal,-0.3303,-0.4525,0.1297,-0.8596,-0.3779,-0.9457
nominal,0.5525,0.4366,0.1748,1.0759,0.3471,1.0928
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.5512,-0.4525,-0.5916,-0.1414,-0.3779,0.3158
nominal,-0.3293,-0.4304,1.9329,0.6561,0.5285,0.3981
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,0.5131,0.4101,-0.231,0.5388,-0.3779,0.4834
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,0.8251,0.9586,-0.231,2.4185,-0.3779,1.0044
nominal,0.0378,-0.3021,0.31,0.7915,0.4087,1.1598
nominal,0.7773,0.9542,0.7608,0.2835,0.0558,0.6662
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.1585,-0.4083,1.437,1.2033,-0.3779,0.4194
nominal,0.2993,-0.2048,1.1215,1.6173,0.0421,1.0227
nominal,-0.1364,-0.3685,0.31,-0.8596,-0.3779,-0.9457
nominal,0.1084,-0.1561,0.31,0.8708,1.7542,1.2421
nominal,-0.0659,-0.395,-0.0957,0.3898,1.2859,1.1842
nominal,-0.5325,-0.4304,1.392,4.6941,-0.3779,0.5656
nominal,-0.0373,-0.3729,-0.3662,0.8907,-0.3779,1.1385
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,0.3618,0.127,-0.2761,1.7337,-0.3779,1.0105
nominal,0.0127,-0.4392,-0.4113,0.5248,2.941,0.8003
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.05,-0.3154,0.4903,1.4071,-0.3779,0.718
nominal,0.1184,-0.1605,-0.0957,0.894,0.8098,1.2208
nominal,0.5371,0.0695,-0.4564,-0.8596,-0.3779,-0.9457
nominal,1.5363,5.0549,-0.4564,0.8253,-0.3779,0.6205
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,0.2444,-0.4481,0.1297,1.1198,-0.3779,0.9435
nominal,0.5264,0.5472,0.1297,1.3219,-0.3779,1.5316
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,0.3073,0.388,0.0395,-0.8596,-0.3779,-0.9457
nominal,0.9594,1.3877,-0.1859,1.3561,-0.3779,0.9953
nominal,0.0068,-0.0632,4.5927,1.1523,-0.0373,0.8186
nominal,0.3,0.4676,0.2198,1.027,-0.3779,1.562
nominal,0.0205,-0.1296,1.392,0.7324,0.1859,1.0928
nominal,-0.1699,-0.3375,1.437,0.8088,-0.3779,1.3305
nominal,0.5408,0.388,0.0846,-0.8596,-0.3779,-0.9457
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,0.0337,-0.4525,0.31,-0.8596,-0.3779,-0.9457
nominal,0.1692,0.0474,0.7157,-0.8596,-0.3779,-0.9457
nominal,1.0243,1.0161,-0.3662,0.9413,-0.3779,1.0227
nominal,-0.0434,-0.4525,0.1297,0.2447,-0.3779,0.8186
nominal,-0.1445,-0.2844,-0.1408,4.0392,1.2593,1.1019
nominal,-0.1916,-0.1782,-0.2761,-0.1971,1.2748,1.108
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,0.0771,-0.0455,0.7157,-0.8596,-0.3779,-0.9457
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.132,-0.2844,0.4903,1.3308,-0.3779,1.0014
nominal,0.4101,-0.2579,-0.4564,0.4215,-0.3779,0.6327
nominal,-0.1711,-0.4525,-0.2761,-0.8596,-0.3779,-0.9457
nominal,-0.0816,-0.3463,-0.5916,0.2569,-0.3779,0.5656
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,1.0644,3.2279,-0.0507,0.7865,-0.3779,0.4956
nominal,1.3671,3.3916,-0.4113,1.7822,-0.3779,0.8917
nominal,0.155,-0.2048,1.9329,-0.8596,-0.3779,-0.9457
nominal,0.3289,0.2155,0.8059,-0.8596,-0.3779,-0.9457
nominal,1.0434,0.6446,-0.1859,0.5995,-0.3779,1.1476
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.5044,-0.3508,4.2321,0.1637,0.0664,1.364
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,0.0488,-0.3065,0.3551,-0.8596,-0.3779,-0.9457
nominal,-0.5046,-0.3375,1.392,1.2654,-0.3779,0.6967
nominal,0.3886,-0.4437,0.1297,1.281,-0.3779,0.9191
nominal,-0.2031,-0.4525,0.4452,0.9076,-0.3779,1.0806
anomaly,-0.0842,-0.4083,-0.1859,1.1932,3.6996,1.233
nominal,0.893,1.6266,-0.0957,-0.8596,-0.3779,-0.9457
nominal,0.0562,-0.3906,-0.3211,0.9839,-0.3779,1.2391
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.2641,-0.395,-0.1859,0.7388,1.1275,1.3152
nominal,1.0441,0.9984,-0.1408,-0.8596,-0.3779,-0.9457
anomaly,0.5075,-0.3331,-0.5015,1.662,11.8031,1.1202
nominal,0.155,-0.249,0.5354,0.3945,-0.3779,0.9039
nominal,-0.1519,-0.4348,-0.1859,-0.8596,-0.3779,-0.9457
nominal,0.2004,0.4588,-0.1408,-0.8596,-0.3779,-0.9457
nominal,0.4069,-0.0278,0.6707,1.0219,0.0468,1.2909
nominal,-0.0212,-0.3685,-0.4113,1.0101,-0.3779,1.2482
nominal,-0.2795,-0.4127,0.6256,0.6067,-0.3779,0.6723
nominal,-0.1257,-0.3906,0.9411,0.4413,0.3727,1.2939
nominal,-0.6037,-0.3994,2.2034,1.108,0.8109,0.3584
nominal,0.1131,0.0031,-0.1859,-0.8596,-0.3779,-0.9457
nominal,0.4724,0.8746,0.0395,-0.8596,-0.3779,-0.9457
nominal,0.5918,-0.4525,-0.0507,-0.8596,-0.3779,-0.9457
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,1.3813,-0.4215,-0.0957,-0.8596,-0.3779,-0.9457
nominal,0.3186,-0.1517,-0.0507,1.8957,-0.3779,1.2116
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,0.0225,-0.4038,0.31,1.5337,0.3882,1.1964
nominal,0.3374,-0.2579,1.0313,0.8873,-0.3779,1.2391
nominal,0.1465,-0.1827,0.5354,0.1113,-0.3779,1.7114
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,0.3179,-0.0544,-0.2761,0.305,-0.3779,0.974
nominal,-0.4304,-0.4525,-0.4113,0.9409,3.9502,0.59
nominal,-0.0129,-0.2004,-0.1408,0.7936,-0.3779,1.1598
nominal,-0.1311,-0.4392,-0.3211,-0.8596,-0.3779,-0.9457
nominal,-0.1719,-0.426,-0.0056,-0.8596,-0.3779,-0.9457
nominal,-0.2595,-0.4525,0.2198,-0.8596,-0.3779,-0.9457
nominal,-0.1054,0.2685,0.5805,0.4379,0.4932,0.8856
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,0.4548,-0.1252,-0.231,0.5004,1.0763,0.9374
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.0982,-0.4304,0.6707,-0.8596,-0.3779,-0.9457
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.1111,-0.4038,0.3551,0.9738,-0.3779,1.6687
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.0112,-0.3552,-0.3211,0.9046,4.7534,0.977
nominal,-0.4094,-0.4083,1.437,-0.8596,-0.3779,-0.9457
nominal,-0.3686,-0.4171,1.1665,0.7772,0.8678,0.8551
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.0073,0.127,-0.2761,-0.8596,-0.3779,-0.9457
nominal,-0.4682,-0.3906,1.1215,0.5092,3.3007,0.9404
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,0.2886,-0.2136,-0.1408,0.532,-0.3779,0.9648
nominal,-0.1919,-0.3419,0.6707,0.2054,0.4511,0.8368
nominal,0.0705,-0.3286,-0.1859,0.7455,-0.3779,1.2909
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,0.2021,0.6047,0.7157,2.7198,-0.3779,1.2025
nominal,-0.2902,-0.4304,-0.0957,-0.8596,-0.3779,-0.9457
nominal,-0.2092,-0.364,-0.0957,0.6957,-0.3779,0.8734
nominal,-0.2212,-0.3773,0.7157,0.8443,0.3006,1.0562
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,3.4971,-0.4525,-0.5465,-0.8596,-0.3779,-0.9457
nominal,-0.5471,-0.4038,2.9247,1.7633,-0.3779,0.6753
nominal,0.8576,1.3612,0.2649,1.0122,-0.3779,0.9404
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,0.7327,4.5904,-0.4113,-0.8596,-0.3779,-0.9457
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,0.3943,-0.249,-0.2761,1.3624,-0.3779,1.3792
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.1279,-0.3508,0.1297,1.2552,1.5857,0.6631
nominal,-0.3408,-0.4481,-0.1859,0.8611,1.513,0.6845
nominal,0.0366,-0.4525,0.2649,0.8919,-0.3779,0.9404
nominal,-0.0777,0.8657,-0.4113,-0.8596,-0.3779,-0.9457
nominal,0.7997,4.5462,2.7444,0.4139,-0.3779,-0.0895
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,1.5058,5.0416,-0.3211,1.17,0.6049,0.4133
nominal,0.4456,-0.0146,-0.2761,1.0194,-0.3779,1.3792
nominal,0.1778,-0.0101,0.0846,-0.8596,-0.3779,-0.9457
nominal,0.3035,-0.0632,0.4903,0.8135,-0.3779,1.2269
nominal,-0.1516,-0.2534,-0.1408,1.0025,2.1664,0.5748
nominal,0.2781,0.1314,-0.3662,-0.8596,-0.3779,-0.9457
nominal,0.0129,-0.1473,1.1215,-0.8596,-0.3779,-0.9457
nominal,0.3433,0.1181,-0.2761,-0.8596,-0.3779,-0.9457
nominal,1.3571,1.1533,-0.4113,0.9211,-0.3779,1.0105
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,0.2066,-0.3286,-0.2761,0.7523,-0.3779,1.0166
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,1.3383,-0.4525,-0.5465,-0.8596,-0.3779,-0.9457
nominal,1.2323,1.7328,-0.3662,0.9928,-0.3779,0.4102
nominal,0.5014,-0.0853,0.0395,0.467,0.342,0.8338
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.384,-0.4437,0.1748,1.0932,1.2049,0.785
nominal,0.0373,-0.1252,1.3469,0.5641,0.0809,1.1019
nominal,0.4858,0.0828,-0.0957,0.9392,0.9747,0.98
nominal,0.2917,-0.3419,-0.1859,0.8907,-0.3779,0.9343
nominal,0.1301,-0.1738,0.3551,0.6544,0.1424,1.0623
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.3366,-0.4525,0.31,0.1012,-0.3779,0.9008
nominal,0.2024,-0.2623,1.1665,1.1662,-0.3779,1.6352
nominal,-0.1154,-0.3994,0.31,-0.8596,-0.3779,-0.9457
nominal,0.9877,2.2636,-0.3662,-0.8596,-0.3779,-0.9457
nominal,0.0945,-0.2756,-0.1859,0.7084,-0.3779,1.3731
nominal,-0.375,-0.3109,1.437,0.2059,0.5952,1.4249
nominal,-0.299,-0.426,-0.0056,0.1291,-0.3779,1.2665
nominal,-0.0811,-0.3242,1.0313,1.1717,-0.3779,1.3975
nominal,-0.2346,-0.2667,3.8264,-0.1199,-0.1209,1.1111
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,0.2387,-0.3773,-0.5015,1.3143,5.4315,1.7418
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,0.227,0.3216,-0.4113,-0.8596,-0.3779,-0.9457
nominal,0.7212,0.5605,0.6707,0.7911,-0.3779,1.1751
nominal,-0.3098,-0.4127,0.3551,0.6776,0.0298,1.2421
nominal,0.0368,-0.3906,0.31,1.3042,0.3064,1.2299
nominal,1.172,2.3653,-0.4564,1.2649,-0.3779,0.4133
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.2082,-0.3109,-0.0507,-0.8596,-0.3779,-0.9457
nominal,-0.2803,-0.4481,-0.0957,0.2565,-0.3779,1.2299
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.0827,-0.3773,-0.0056,-0.8596,-0.3779,-0.9457
nominal,1.0442,0.2066,-0.1408,1.2451,0.5673,1.0562
anomaly,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,1.436,4.931,-0.1859,1.2211,0.4135,0.3859
nominal,-0.1818,-0.3375,0.4002,0.8417,-0.3779,0.6144
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.104,-0.3109,0.5805,1.6806,-0.3779,0.9679
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.1391,-0.3861,-0.1859,1.1932,-0.3779,1.5651
nominal,0.6735,0.5295,0.2198,1.0894,0.4848,1.108
nominal,0.177,-0.3331,0.2649,-0.8596,-0.3779,-0.9457
nominal,0.6277,0.0474,0.4903,1.2341,0.0667,1.2086
nominal,0.8606,0.2022,-0.2761,1.2223,-0.3779,0.8978
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
anomaly,1.2362,-0.0588,-0.5465,1.5569,7.5119,1.1537
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,0.6616,1.7372,-0.3662,-0.1047,-0.3779,0.4559
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.2149,-0.4127,0.0395,0.8063,-0.3779,1.5346
nominal,-0.0532,-0.1694,0.2649,0.7742,-0.3779,1.0532
nominal,-0.2266,-0.2225,-0.0507,1.0995,0.9684,1.1324
nominal,0.1838,-0.4481,0.0395,1.1194,-0.3779,1.7205
nominal,0.4179,1.1842,-0.0957,1.997,0.9058,0.7454
nominal,0.882,-0.4525,-0.5015,-0.8596,-0.3779,-0.9457
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.3928,-0.4525,0.2198,0.1991,1.5561,1.0623
nominal,1.1711,0.6446,0.1297,2.0434,-0.3779,1.2238
nominal,-0.0571,-0.2004,0.8961,0.7291,0.3158,0.846
nominal,-0.3147,-0.4127,0.5805,1.0409,0.9484,1.0197
nominal,-0.3084,-0.4083,0.5805,-0.8596,-0.3779,-0.9457
nominal,0.1406,-0.364,-0.2761,-0.8596,-0.3779,-0.9457
nominal,1.1191,0.8392,-0.2761,2.1253,-0.3779,0.8673
nominal,0.3865,-0.3906,-0.3211,-0.8596,-0.3779,-0.9457
nominal,1.0432,1.0117,-0.231,-0.8596,-0.3779,-0.9457
nominal,1,0.9807,-0.3662,1.7164,-0.3779,0.7789
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,0.1929,-0.0013,0.6256,1.027,0.4543,1.236
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,0.5095,0.4278,0.7608,1.0215,0.0824,1.2817
nominal,-0.0623,-0.0632,-0.4564,0.8734,-0.3779,1.4767
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,0.3598,0.2509,0.2649,0.8565,0.2727,1.3823
nominal,0.2266,-0.2933,-0.0056,1.7071,0.521,1.1294
nominal,0.3808,0.4499,0.4452,-0.8596,-0.3779,-0.9457
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.5056,-0.4171,2.7895,0.8987,0.2241,0.7393
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,0.2414,0.2332,-0.3662,0.7962,-0.3779,0.8125
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,0.4704,-0.4525,-0.3211,-0.8596,-0.3779,-0.9457
nominal,0.6951,0.1314,0.1297,1.1135,0.4077,1.1446
nominal,-0.281,-0.395,0.851,0.2628,0.4261,1.1568
nominal,-0.029,-0.3463,-0.0507,-0.8596,-0.3779,-0.9457
nominal,0.5002,4.9354,0.7157,1.8257,-0.3779,1.1202
anomaly,0.0329,-0.3994,-0.2761,1.6755,3.0426,1.5194
nominal,1.1169,1.9716,-0.5015,1.6742,-0.3779,1.0197
nominal,-0.0098,-0.2933,0.4452,0.7632,-0.3779,0.8673
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,1.3026,1.662,-0.1408,2.7177,-0.3779,1.0105
nominal,-0.0019,0.0252,0.1748,0.9164,0.7317,1.2451
nominal,0.0925,-0.3331,1.2567,0.6881,-0.0079,0.8186
nominal,-0.2715,-0.4525,-0.1859,1.7957,1.943,0.8155
nominal,0.0469,0.1226,0.8961,0.2995,-0.3779,0.8886
nominal,0.488,0.4853,-0.1408,1.186,0.4085,1.2512
nominal,0.3809,-0.4127,0.2198,-0.8596,-0.3779,-0.9457
anomaly,0.2158,-0.1782,-0.4113,1.4911,-0.3779,1.5072
nominal,0.4013,0.2376,-0.1859,1.1751,2.0942,1.0318
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,0.3316,1.2417,-0.2761,-0.8596,-0.3779,-0.9457
nominal,0.179,0.3261,1.437,-0.0199,0.127,0.5992
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,0.3482,1.0383,-0.0507,-0.8596,-0.3779,-0.9457
nominal,0.3794,0.2818,-0.0957,0.1071,0.7559,1.0471
nominal,-0.2529,-0.3109,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.4006,-0.4038,1.9329,1.1894,0.2447,0.8186
nominal,0.4838,1.1267,-0.3662,-0.8596,-0.3779,-0.9457
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.1538,0.1049,1.3018,-0.0832,-0.3779,0.7454
nominal,1.229,-0.4437,-0.5015,-0.8596,-0.3779,-0.9457
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.3557,-0.3154,0.3551,0.4257,1.2513,1.041
nominal,0.1782,0.1624,0.0395,0.9236,-0.3779,0.395
