ground.truth,v1,v2,v3,v4,v5,v6
nominal,-0.2083,-0.4171,0.3551,0.7447,0.5218,1.1080
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.1330,-0.4083,-0.1408,-0.8596,-0.3779,-0.9457
nominal,2.0926,-0.4304,-0.5465,-0.8596,-0.3779,-0.9457
nominal,-0.4682,-0.3906,1.1215,0.5092,3.3007,0.9404
nominal,0.2182,-0.4481,-0.1408,-0.8596,-0.3779,-0.9457
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,0.0251,-0.3463,-0.1859,0.5084,-0.3779,1.3670
nominal,0.2996,0.6003,0.5805,1.2970,-0.3779,0.9252
nominal,1.3496,-0.4348,-0.4564,-0.8596,-0.3779,-0.9457
nominal,-0.0571,-0.2004,0.8961,0.7291,0.3158,0.8460
nominal,0.2044,-0.0146,-0.4113,0.4772,3.8515,0.4620
nominal,0.6127,-0.4348,0.1297,-0.8596,-0.3779,-0.9457
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,0.8489,0.4189,-0.1408,1.2447,-0.3779,0.7424
nominal,-0.1480,-0.2933,-0.0507,0.7388,0.8472,1.3122
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.1313,-0.3065,1.5272,0.6902,-0.3779,1.1294
nominal,1.4323,4.0153,-0.0056,-0.8596,-0.3779,-0.9457
nominal,-0.2905,-0.2933,0.4002,-0.8596,-0.3779,-0.9457
nominal,-0.3123,-0.4304,1.5723,0.3481,-0.3779,1.1019
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,0.4892,0.2509,-0.4113,-0.8596,-0.3779,-0.9457
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,0.2424,-0.0632,0.1748,1.0109,-0.3779,0.9343
nominal,-0.4368,-0.4525,0.4452,0.5265,-0.3779,0.8125
nominal,0.0820,0.5295,0.1748,1.1147,-0.3779,1.1598
nominal,-0.1882,-0.4525,0.3551,-0.8596,-0.3779,-0.9457
nominal,-0.0435,-0.3552,0.3100,-0.8596,-0.3779,-0.9457
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.5554,-0.4525,1.8428,-0.8596,-0.3779,-0.9457
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,0.8395,4.5993,-0.1859,-0.8596,-0.3779,-0.9457
anomaly,0.4397,-0.3817,-0.4564,1.5700,4.0722,1.2116
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,0.2083,0.1978,-0.0957,-0.8596,-0.3779,-0.9457
anomaly,3.7801,0.7817,-0.5465,4.3434,-0.3779,0.9343
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,0.7151,0.9940,0.4452,0.4607,-0.3779,0.4681
nominal,-0.3831,-0.3685,-0.0056,-0.8596,-0.3779,-0.9457
nominal,0.5623,0.0606,-0.2761,0.7573,1.8604,0.9343
nominal,-0.4448,-0.4083,-0.0056,-0.8596,-0.3779,-0.9457
nominal,0.0576,-0.0544,0.4903,1.7519,-0.3779,0.9709
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,0.1838,0.4676,-0.3662,0.8071,3.7018,1.0105
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.1118,-0.0500,0.6707,0.8535,-0.3779,0.7820
nominal,0.2210,-0.3950,-0.0056,-0.8596,-0.3779,-0.9457
nominal,1.0243,1.0161,-0.3662,0.9413,-0.3779,1.0227
nominal,0.2126,0.0783,-0.0507,-0.8596,-0.3779,-0.9457
nominal,0.2624,-0.2048,0.3100,-0.8596,-0.3779,-0.9457
nominal,-0.0427,-0.3375,0.6256,0.3890,0.3717,0.6266
nominal,8.8738,-0.4260,-0.5465,-0.8596,-0.3779,-0.9457
nominal,-0.4070,-0.4171,-0.3211,-0.1697,4.8790,1.3305
anomaly,0.7499,-0.2136,-0.4113,1.8156,3.7314,1.2360
nominal,0.5856,1.1223,0.0395,-0.8596,-0.3779,-0.9457
nominal,0.3611,-0.4525,-0.4564,-0.8596,-0.3779,-0.9457
nominal,0.0637,0.2066,4.8632,-0.8596,-0.3779,-0.9457
nominal,-0.3679,-0.4525,1.1215,0.4666,0.1797,0.9222
nominal,0.2854,-0.0101,0.1748,0.8700,1.0121,1.3762
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,0.0617,-0.0544,0.0846,0.8911,-0.3779,1.3518
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,0.1917,-0.2446,0.1297,1.2388,0.5957,1.0836
nominal,-0.1326,-0.3331,0.5354,0.7873,0.8246,1.2969
anomaly,2.2592,0.2155,-0.5465,3.0017,13.7504,0.9618
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,0.8976,2.9094,-0.2310,1.1751,-0.3779,0.2640
nominal,-0.3710,-0.4304,1.9329,-0.8596,-0.3779,-0.9457
anomaly,6.1960,1.5824,-0.5916,9.5912,23.6171,1.3701
nominal,-0.0554,-0.4525,-0.3211,-0.1747,-0.3779,0.2884
anomaly,0.5434,0.1889,-0.5015,1.5789,7.7507,1.4584
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,0.9797,2.6971,-0.1859,1.2759,-0.3779,0.4590
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.2732,-0.2711,-0.5916,0.0354,-0.3779,0.5260
nominal,-0.3748,-0.3685,2.5641,0.7780,0.2089,0.9679
nominal,-0.1192,-0.1827,0.2649,0.5392,-0.3779,1.2787
nominal,-0.2835,-0.4171,-0.1408,0.7755,-0.3779,0.7302
nominal,-0.1309,-0.4392,-0.2310,1.6886,2.1410,0.7302
nominal,-0.1972,-0.4348,-0.3662,0.4071,-0.3779,0.7058
nominal,0.0767,-0.3596,-0.3662,1.1751,2.0942,0.9770
nominal,0.4074,-0.4481,-0.0507,-0.8596,-0.3779,-0.9457
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,0.0130,-0.0544,0.2649,-0.8596,-0.3779,-0.9457
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,0.0891,-0.1561,-0.2310,0.5645,-0.3779,1.1568
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.0703,-0.0765,1.5272,0.7080,-0.3779,1.4432
nominal,-0.2759,-0.3286,2.0682,0.2383,-0.0008,1.2756
nominal,5.5610,-0.4525,-0.4564,-0.8596,-0.3779,-0.9457
nominal,-0.2061,-0.3906,0.4903,0.4400,-0.3779,1.1355
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,0.1065,-0.0234,0.5354,-0.2925,-0.3779,0.6601
nominal,-0.5161,-0.4525,0.6256,0.2181,0.5872,0.7271
nominal,0.0366,-0.4525,0.2649,0.8919,-0.3779,0.9404
nominal,0.1733,-0.3154,0.0395,-0.8596,-0.3779,-0.9457
nominal,-0.5076,-0.4481,4.8182,0.7632,0.2625,0.8216
nominal,0.2177,-0.1959,0.3100,0.8966,0.2319,1.5712
nominal,-0.0200,-0.1030,-0.4564,-0.8596,-0.3779,-0.9457
nominal,-0.0174,-0.4171,-0.2310,2.0464,1.4840,0.9222
nominal,-0.3772,-0.3375,5.4042,1.4168,0.3801,0.6601
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.1613,-0.4038,0.0395,0.9578,0.9102,1.0654
nominal,0.1917,-0.4525,-0.2310,-0.8596,-0.3779,-0.9457
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.0706,-0.1428,1.0313,-0.8596,-0.3779,-0.9457
nominal,0.0127,-0.4392,-0.4113,0.5248,2.9410,0.8003
nominal,-0.4849,-0.4348,0.0846,-0.1545,1.2906,1.2909
nominal,-0.0710,-0.3994,-0.0957,0.2687,-0.3779,0.9953
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,0.8932,0.7861,-0.0507,-0.8596,-0.3779,-0.9457
anomaly,-0.0288,-0.1561,-0.3662,1.4565,3.2451,1.3609
nominal,0.1059,-0.1827,0.3551,-0.8596,-0.3779,-0.9457
nominal,1.3739,4.8779,-0.4113,-0.8596,-0.3779,-0.9457
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.0766,-0.3685,0.0395,1.0666,0.7154,0.7424
nominal,0.1074,-0.2756,0.0395,0.9552,1.2446,0.8764
nominal,0.8811,0.0031,-0.3211,0.7932,1.6993,1.2512
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,0.3017,0.7198,-0.2310,0.1021,2.3379,1.1294
nominal,0.3266,-0.3419,0.1748,-0.8596,-0.3779,-0.9457
nominal,-0.0491,-0.4392,-0.2310,0.6548,1.3672,1.4066
nominal,-0.0528,-0.2313,-0.0507,0.3970,1.2113,1.1873
nominal,0.3882,-0.4525,-0.1859,1.2962,-0.3779,0.8307
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.0181,-0.3463,0.4903,1.1763,-0.3779,0.7546
nominal,0.4763,0.1757,-0.2761,-0.8596,-0.3779,-0.9457
nominal,0.3198,0.0474,-0.0507,-0.8596,-0.3779,-0.9457
nominal,-0.2371,-0.3065,1.5272,0.7236,0.1998,0.9496
nominal,0.6211,0.8259,-0.2761,1.3557,-0.3779,0.9892
nominal,-0.2080,-0.2933,0.3100,1.3683,0.5045,1.0989
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,0.0776,-0.3773,-0.2310,-0.8596,-0.3779,-0.9457
nominal,-0.1777,-0.4392,-0.0507,0.9827,1.1757,1.1629
nominal,-0.1736,-0.3109,1.2116,0.8810,0.1659,1.2878
nominal,0.5457,-0.4525,-0.4564,-0.8596,-0.3779,-0.9457
nominal,0.5825,1.0250,-0.2310,1.0945,1.1846,1.0258
nominal,0.2051,-0.2357,0.2649,-0.8596,-0.3779,-0.9457
nominal,-0.3957,-0.4525,0.4002,1.6995,0.5896,0.3859
nominal,0.3962,0.5030,-0.0507,0.4590,-0.3779,1.1446
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,0.2942,0.2199,-0.2310,-0.8596,-0.3779,-0.9457
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,0.6116,3.2147,-0.1859,-0.8596,-0.3779,-0.9457
nominal,4.3448,-0.4481,-0.4564,-0.8596,-0.3779,-0.9457
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.0252,-0.3773,-0.0507,-0.8596,-0.3779,-0.9457
nominal,-0.0835,-0.3861,-0.1859,1.2616,-0.3779,0.9435
nominal,0.0390,-0.3817,0.1297,-0.8596,-0.3779,-0.9457
nominal,1.6522,3.4845,0.0846,1.4957,-0.3779,0.9800
nominal,-0.3737,-0.3950,3.1051,1.1050,0.3980,0.5992
nominal,-0.0659,-0.3950,-0.0957,0.3898,1.2859,1.1842
nominal,-0.0588,-0.4348,0.4903,0.6489,-0.3779,1.3853
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,0.3662,-0.4437,-0.3211,-0.8596,-0.3779,-0.9457
nominal,0.4854,0.2995,0.4002,0.3004,-0.3779,0.9252
nominal,0.0476,-0.0986,0.4903,-0.8596,-0.3779,-0.9457
nominal,0.3579,-0.0588,-0.3662,0.4253,-0.3779,0.9465
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,0.1773,-0.1119,-0.2761,1.3324,1.0615,1.4706
anomaly,0.0857,-0.4348,-0.3662,1.0185,-0.3779,1.5041
nominal,-0.1916,-0.1782,-0.2761,-0.1971,1.2748,1.1080
nominal,-0.2436,-0.4392,0.6707,0.4223,-0.3779,1.5255
nominal,1.4789,4.9222,-0.2761,-0.8596,-0.3779,-0.9457
nominal,0.8994,3.4801,-0.4564,-0.8596,-0.3779,-0.9457
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.0974,-0.4525,0.1297,-0.8596,-0.3779,-0.9457
nominal,0.2915,-0.1517,-0.1859,0.6784,-0.3779,1.2634
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.0732,-0.4260,-0.1408,-0.8596,-0.3779,-0.9457
nominal,0.8869,2.8917,-0.1408,-0.8596,-0.3779,-0.9457
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,1.0031,2.7413,0.1748,0.3675,-0.3779,0.3828
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,1.0962,4.1613,-0.4564,1.5118,1.0369,0.3341
nominal,-0.2061,-0.4215,0.1748,2.1190,-0.3779,0.6296
nominal,1.7252,1.6222,-0.3211,0.0324,1.1051,0.4773
nominal,-0.2471,-0.3552,-0.5916,2.1789,-0.3779,0.1908
nominal,-0.4838,-0.4525,1.3018,0.6729,-0.3779,0.7942
nominal,0.5109,-0.3994,-0.4113,1.0919,-0.3779,0.9587
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.1936,-0.4437,-0.4113,0.5257,2.6224,1.7205
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.4311,-0.4215,0.7608,-0.8596,-0.3779,-0.9457
nominal,-0.1052,-0.4127,-0.1408,1.0244,-0.3779,1.0379
nominal,0.2021,0.1004,1.9329,0.0497,0.0036,0.8704
nominal,1.5773,-0.3552,-0.4564,-0.8596,-0.3779,-0.9457
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,0.3086,-0.3154,-0.0056,-0.8596,-0.3779,-0.9457
nominal,0.7587,0.6047,-0.0957,1.3683,-0.3779,1.1080
nominal,0.9175,5.0814,-0.2310,0.8485,-0.3779,0.3402
nominal,0.5237,0.8702,-0.0507,0.9084,-0.3779,1.1294
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,0.7189,0.5649,0.2649,-0.8596,-0.3779,-0.9457
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,0.8007,1.2285,-0.2761,1.8784,0.9991,1.1019
nominal,-0.5288,-0.4260,3.9165,0.7388,0.8838,0.7332
nominal,2.0116,-0.4304,-0.4564,-0.8596,-0.3779,-0.9457
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.1967,-0.3729,-0.1859,0.2270,-0.3779,0.8856
nominal,-0.3384,-0.2490,2.6542,0.0375,-0.3779,1.3518
nominal,2.1522,3.1306,-0.0056,2.5371,-0.3779,0.7210
nominal,0.1926,-0.4525,0.4002,-0.8596,-0.3779,-0.9457
nominal,0.5524,0.6799,-0.1408,1.0375,0.7502,1.2604
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,0.7914,0.6622,0.2198,1.8434,0.5441,1.3701
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.4772,-0.4348,2.4288,0.7050,0.0542,1.0715
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.2232,-0.2667,1.5272,1.3692,-0.0315,1.0288
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,0.8120,4.8691,-0.3211,0.5396,2.6292,-0.0255
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,0.6752,0.6844,0.3551,0.8189,0.2754,1.1446
nominal,-0.2947,-0.4392,0.5805,-0.8596,-0.3779,-0.9457
nominal,0.1281,-0.1871,-0.3211,0.6029,1.9460,0.8186
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,1.7783,3.0421,-0.0507,1.8341,0.0663,0.9130
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,0.6462,0.1535,-0.0056,1.0645,-0.3779,1.3335
nominal,-0.0723,-0.4525,-0.3211,-0.8596,-0.3779,-0.9457
nominal,-0.5757,-0.4525,6.9370,-0.2013,0.1798,0.5047
anomaly,1.3920,0.1580,-0.5465,2.1097,7.3766,1.2939
nominal,1.3993,0.2730,0.0846,1.8485,-0.3779,0.9983
nominal,0.0716,-0.0942,1.0764,1.8257,-0.3779,0.7180
nominal,0.1253,-0.1782,0.4452,0.6320,0.5285,1.1263
nominal,1.5011,1.7549,0.1748,1.3831,-0.3779,0.5504
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.0857,0.0783,-0.4113,-0.8596,-0.3779,-0.9457
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,0.9302,-0.4481,-0.4564,-0.8596,-0.3779,-0.9457
nominal,0.7988,0.7198,-0.3211,2.0287,-0.3779,1.0288
nominal,0.1790,0.3261,1.4370,-0.0199,0.1270,0.5992
nominal,0.0788,-0.3154,-0.0056,-0.8596,-0.3779,-0.9457
nominal,-0.0073,0.1270,-0.2761,-0.8596,-0.3779,-0.9457
anomaly,0.4065,-0.3419,-0.4564,-0.8596,-0.3779,-0.9457
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,0.9724,3.3120,-0.2761,1.3907,-0.3779,1.0166
nominal,0.6320,0.1447,-0.4113,1.0282,1.6486,1.1659
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,1.7914,2.1353,0.4452,1.9717,0.2291,1.2939
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,0.1042,-0.3463,-0.3211,-0.8596,-0.3779,-0.9457
nominal,1.6662,4.7718,-0.5015,1.6481,-0.3779,0.2213
nominal,-0.2129,-0.3065,1.3920,-0.8596,-0.3779,-0.9457
nominal,0.1003,0.1447,0.8510,1.4801,0.0486,1.3274
nominal,-0.4982,-0.4083,1.2116,0.0767,-0.3779,1.0654
nominal,0.4875,0.4897,0.0846,-0.8596,-0.3779,-0.9457
nominal,-0.2177,-0.4437,-0.3662,0.6590,-0.3779,0.7607
nominal,-0.2044,-0.2933,-0.1408,-0.3001,-0.3779,0.4620
nominal,-0.2654,-0.3729,-0.2761,0.2607,1.5407,1.3427
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.3356,-0.4525,-0.3211,0.9038,-0.3779,1.0166
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,0.2575,-0.2136,0.1748,0.7274,0.2130,1.2634
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,0.0639,-0.3331,-0.4113,-0.8596,-0.3779,-0.9457
nominal,2.8514,-0.4171,-0.5465,-0.8596,-0.3779,-0.9457
nominal,0.8369,5.0770,-0.1408,-0.8596,-0.3779,-0.9457
nominal,-0.0401,-0.3729,-0.4564,-0.8596,-0.3779,-0.9457
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.2102,-0.3994,0.5805,-0.8596,-0.3779,-0.9457
nominal,0.0991,-0.3419,-0.0957,0.7805,-0.3779,1.4432
nominal,0.0005,0.0518,-0.2761,0.0071,-0.3779,1.1141
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,0.3144,-0.4392,-0.1859,-0.8596,-0.3779,-0.9457
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
anomaly,-0.1069,-0.3242,-0.1408,1.2662,-0.3779,1.5011
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.1311,-0.4392,-0.3211,-0.8596,-0.3779,-0.9457
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,0.0647,-0.4392,-0.2761,-0.8596,-0.3779,-0.9457
nominal,0.0527,-0.2667,1.0313,-0.1595,-0.3779,0.6113
nominal,0.4357,3.7499,-0.3662,-0.8596,-0.3779,-0.9457
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.0281,-0.2534,0.0395,-0.8596,-0.3779,-0.9457
nominal,0.6367,0.7198,0.6256,2.1405,-0.3779,1.4127
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.1347,-0.1694,1.0764,0.8497,0.1729,0.9831
nominal,-0.7844,-0.4525,0.8059,-0.8596,-0.3779,-0.9457
nominal,-0.4529,-0.4392,0.1297,0.4033,-0.3779,1.0471
nominal,0.2041,0.1801,3.4657,0.6143,0.1856,0.4407
nominal,-0.1528,-0.3729,-0.2310,0.2679,-0.3779,0.9618
nominal,0.3914,-0.1340,-0.4113,1.6746,-0.3779,1.1385
nominal,0.0303,-0.3861,0.3551,-0.8596,-0.3779,-0.9457
nominal,0.2348,0.1491,0.0846,-0.8596,-0.3779,-0.9457
nominal,0.3422,0.0076,-0.4564,0.3780,-0.3779,1.0958
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,1.9662,-0.1384,-0.2761,-0.8596,-0.3779,-0.9457
nominal,0.2695,-0.4525,0.3100,1.9738,0.3893,0.6510
nominal,0.1492,-0.0765,0.6256,1.5451,-0.3779,1.3670
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,1.0263,1.4054,-0.3211,1.4966,-0.3779,0.9282
nominal,5.6045,-0.4304,-0.5015,-0.8596,-0.3779,-0.9457
nominal,-0.0627,-0.2977,-0.4564,0.6860,3.4006,0.3219
nominal,-0.7844,-0.4702,-0.5916,-0.8596,-0.3779,-0.9457
nominal,-0.0083,-0.2225,1.0313,-0.0482,0.4446,0.5169
nominal,-0.2453,-0.3906,1.2567,0.8848,0.6291,1.0379
