label,X1,X2,V2,V3,V4,V5,V6,V7,V8
nominal,0,0,0.675,0.53,0.195,1.4985,0.62,0.375,0.425
nominal,1,0,0.605,0.49,0.18,1.167,0.457,0.29,0.3745
nominal,1,0,0.57,0.445,0.15,0.9875,0.504,0.207,0.249
nominal,0,1,0.405,0.31,0.09,0.312,0.138,0.06,0.087
nominal,0,0,0.665,0.51,0.175,1.3805,0.675,0.2985,0.325
nominal,0,0,0.6,0.46,0.145,0.9325,0.3985,0.2245,0.248
nominal,0,0,0.625,0.49,0.175,1.1075,0.4485,0.2165,0.3595
nominal,0,1,0.57,0.44,0.15,0.755,0.3425,0.16,0.224
nominal,1,0,0.57,0.46,0.15,1.0375,0.5415,0.2035,0.25
nominal,1,0,0.575,0.455,0.165,0.867,0.3765,0.1805,0.268
nominal,0,1,0.475,0.355,0.135,0.4775,0.2145,0.09,0.1435
nominal,1,0,0.425,0.305,0.11,0.359,0.173,0.0875,0.0975
nominal,1,0,0.615,0.455,0.15,0.9335,0.382,0.247,0.2615
nominal,0,1,0.585,0.45,0.135,0.855,0.3795,0.187,0.26
nominal,0,0,0.505,0.39,0.115,0.66,0.3045,0.1555,0.175
nominal,1,0,0.43,0.35,0.11,0.406,0.1675,0.081,0.135
nominal,1,0,0.595,0.49,0.185,1.185,0.482,0.2015,0.361
nominal,1,0,0.53,0.43,0.135,0.879,0.28,0.2165,0.25
nominal,1,0,0.67,0.525,0.195,1.4405,0.6595,0.2675,0.425
nominal,1,0,0.7,0.545,0.215,1.9125,0.8825,0.4385,0.506
nominal,0,0,0.705,0.57,0.185,1.761,0.747,0.3725,0.488
nominal,0,0,0.73,0.555,0.18,1.6895,0.6555,0.1965,0.4935
nominal,0,0,0.575,0.46,0.165,0.9575,0.4815,0.1945,0.236
nominal,1,0,0.67,0.5,0.19,1.519,0.616,0.388,0.415
nominal,0,0,0.6,0.475,0.135,1.4405,0.5885,0.191,0.3175
nominal,1,0,0.345,0.265,0.09,0.163,0.0615,0.037,0.0485
nominal,1,0,0.705,0.56,0.165,1.675,0.797,0.4095,0.388
nominal,0,0,0.605,0.47,0.155,0.974,0.393,0.224,0.3345
nominal,0,1,0.405,0.315,0.105,0.347,0.1605,0.0785,0.1
nominal,1,0,0.29,0.225,0.08,0.1295,0.0535,0.026,0.045
nominal,0,0,0.605,0.465,0.155,1.1,0.547,0.2665,0.2585
nominal,0,0,0.575,0.47,0.155,1.116,0.509,0.238,0.34
nominal,0,1,0.47,0.345,0.12,0.3685,0.1525,0.0615,0.125
nominal,1,0,0.555,0.46,0.16,0.86,0.3345,0.1935,0.275
nominal,0,0,0.605,0.475,0.165,1.056,0.433,0.2195,0.357
nominal,0,1,0.46,0.36,0.14,0.447,0.161,0.087,0.16
nominal,0,0,0.62,0.48,0.165,1.043,0.4835,0.221,0.31
nominal,0,1,0.325,0.2,0.08,0.0995,0.0395,0.0225,0.032
nominal,1,0,0.6,0.46,0.15,1.247,0.5335,0.2735,0.29
nominal,0,0,0.595,0.46,0.155,1.0455,0.4565,0.24,0.3085
nominal,1,0,0.49,0.395,0.12,0.674,0.3325,0.1235,0.185
nominal,0,1,0.44,0.325,0.11,0.4965,0.258,0.1195,0.1075
nominal,0,1,0.555,0.43,0.125,0.7005,0.3395,0.1355,0.2095
nominal,1,0,0.36,0.295,0.1,0.2105,0.066,0.0525,0.075
nominal,1,0,0.485,0.365,0.155,1.029,0.4235,0.2285,0.313
nominal,0,0,0.7,0.525,0.19,1.6015,0.707,0.365,0.43
nominal,0,0,0.55,0.45,0.15,0.875,0.362,0.1755,0.2765
nominal,1,0,0.515,0.455,0.135,0.7225,0.295,0.1625,0.235
nominal,0,1,0.415,0.31,0.095,0.311,0.1125,0.0625,0.115
nominal,0,1,0.39,0.28,0.09,0.215,0.0845,0.034,0.079
nominal,0,1,0.5,0.39,0.13,0.5075,0.2115,0.104,0.1755
nominal,1,0,0.46,0.36,0.125,0.547,0.2165,0.1105,0.19
nominal,0,1,0.505,0.355,0.125,0.601,0.25,0.1205,0.185
nominal,0,0,0.595,0.44,0.135,0.964,0.5005,0.1715,0.2575
nominal,0,1,0.57,0.45,0.145,0.751,0.2825,0.2195,0.2215
nominal,0,0,0.44,0.34,0.135,0.3975,0.1505,0.0945,0.135
nominal,0,0,0.54,0.415,0.15,0.8115,0.3875,0.1875,0.2035
nominal,1,0,0.65,0.51,0.19,1.542,0.7155,0.3735,0.375
nominal,1,0,0.61,0.485,0.17,1.281,0.597,0.3035,0.33
nominal,1,0,0.56,0.425,0.135,0.849,0.3265,0.221,0.2645
nominal,1,0,0.6,0.47,0.13,1.0105,0.423,0.219,0.298
nominal,1,0,0.555,0.405,0.19,1.406,0.6115,0.342,0.389
nominal,0,0,0.605,0.49,0.15,1.1345,0.5265,0.2645,0.295
nominal,1,0,0.405,0.305,0.085,0.2605,0.1145,0.0595,0.085
nominal,0,0,0.57,0.465,0.16,0.8935,0.3145,0.2575,0.263
nominal,0,0,0.665,0.505,0.165,1.349,0.5985,0.3175,0.36
nominal,0,1,0.44,0.34,0.105,0.344,0.123,0.081,0.125
nominal,0,0,0.71,0.5,0.15,1.3165,0.6835,0.2815,0.28
nominal,1,0,0.37,0.29,0.09,0.241,0.11,0.045,0.069
nominal,1,0,0.645,0.52,0.175,1.561,0.709,0.3555,0.4
nominal,0,1,0.44,0.305,0.115,0.379,0.162,0.091,0.11
nominal,0,0,0.565,0.4,0.13,0.6975,0.3075,0.1665,0.18
nominal,1,0,0.515,0.395,0.135,1.007,0.472,0.2495,0.252
nominal,1,0,0.615,0.5,0.17,1.054,0.4845,0.228,0.295
nominal,1,0,0.355,0.265,0.09,0.168,0.05,0.041,0.063
nominal,1,0,0.58,0.49,0.13,1.1335,0.586,0.2565,0.237
nominal,0,0,0.58,0.445,0.135,0.95,0.484,0.182,0.2325
nominal,0,0,0.585,0.445,0.14,0.913,0.4305,0.2205,0.253
nominal,0,0,0.595,0.435,0.15,0.9,0.4175,0.17,0.265
nominal,0,1,0.515,0.415,0.135,0.7125,0.285,0.152,0.245
nominal,1,0,0.615,0.475,0.175,1.224,0.6035,0.261,0.311
nominal,0,0,0.505,0.39,0.16,0.644,0.2475,0.2025,0.1635
nominal,1,0,0.51,0.415,0.145,0.751,0.3295,0.1835,0.203
nominal,0,1,0.42,0.33,0.1,0.352,0.1635,0.089,0.1
nominal,0,1,0.375,0.285,0.09,0.237,0.106,0.0395,0.08
nominal,0,0,0.6,0.45,0.15,0.9625,0.4375,0.2225,0.2775
nominal,0,1,0.54,0.41,0.135,0.7025,0.31,0.177,0.2
nominal,0,1,0.375,0.285,0.1,0.239,0.105,0.0555,0.07
nominal,0,1,0.61,0.465,0.15,0.9605,0.4495,0.1725,0.286
nominal,0,0,0.72,0.55,0.2,1.9965,0.9035,0.469,0.5215
nominal,0,0,0.625,0.485,0.16,1.254,0.591,0.259,0.3485
nominal,0,1,0.425,0.34,0.1,0.371,0.15,0.0865,0.115
nominal,1,0,0.56,0.43,0.155,0.8675,0.4,0.172,0.229
nominal,0,1,0.595,0.43,0.165,0.9845,0.4525,0.207,0.2725
nominal,1,0,0.485,0.355,0.12,0.547,0.215,0.1615,0.14
nominal,0,0,0.535,0.41,0.13,0.7145,0.335,0.144,0.2075
nominal,1,0,0.625,0.49,0.175,1.3325,0.5705,0.271,0.405
nominal,1,0,0.585,0.465,0.15,0.98,0.4315,0.2545,0.247
nominal,1,0,0.35,0.255,0.08,0.1915,0.08,0.0385,0.063
nominal,0,0,0.56,0.43,0.145,0.898,0.3895,0.2325,0.245
nominal,0,1,0.375,0.305,0.115,0.2715,0.092,0.074,0.09
nominal,0,0,0.445,0.325,0.125,0.455,0.1785,0.1125,0.14
nominal,1,0,0.47,0.365,0.135,0.522,0.2395,0.1525,0.145
nominal,1,0,0.31,0.225,0.075,0.1295,0.0455,0.0335,0.044
nominal,0,0,0.59,0.455,0.15,0.976,0.465,0.2055,0.2765
nominal,1,0,0.64,0.495,0.17,1.139,0.5395,0.282,0.285
nominal,1,0,0.59,0.47,0.135,1.1685,0.539,0.279,0.28
nominal,1,0,0.61,0.48,0.14,1.031,0.4375,0.2615,0.27
nominal,0,0,0.545,0.41,0.115,0.6765,0.29,0.158,0.22
nominal,1,0,0.64,0.515,0.18,1.247,0.5475,0.2925,0.3685
nominal,1,0,0.59,0.475,0.165,1.077,0.4545,0.244,0.3095
nominal,0,0,0.635,0.49,0.17,1.2615,0.5385,0.2665,0.38
nominal,0,1,0.53,0.425,0.13,0.781,0.3905,0.2005,0.215
nominal,0,1,0.475,0.34,0.105,0.4535,0.203,0.08,0.1465
nominal,0,0,0.635,0.495,0.015,1.1565,0.5115,0.308,0.2885
nominal,1,0,0.695,0.56,0.185,1.74,0.885,0.3715,0.4375
nominal,0,0,0.55,0.47,0.15,0.9205,0.381,0.2435,0.2675
nominal,0,0,0.49,0.385,0.16,0.656,0.2455,0.171,0.205
nominal,0,0,0.65,0.51,0.17,1.567,0.7245,0.349,0.391
nominal,1,0,0.47,0.39,0.15,0.6355,0.2185,0.0885,0.255
nominal,0,0,0.65,0.495,0.155,1.337,0.615,0.3195,0.335
nominal,1,0,0.575,0.48,0.15,0.9465,0.4355,0.2605,0.2505
nominal,1,0,0.525,0.405,0.13,0.7185,0.3265,0.1975,0.175
nominal,1,0,0.53,0.4,0.125,0.7575,0.398,0.151,0.175
nominal,1,0,0.59,0.465,0.165,1.115,0.5165,0.273,0.275
nominal,1,0,0.54,0.425,0.12,0.817,0.2945,0.153,0.195
nominal,0,1,0.485,0.37,0.115,0.457,0.1885,0.0965,0.15
nominal,1,0,0.47,0.365,0.12,0.612,0.327,0.15,0.14
nominal,1,0,0.515,0.4,0.14,0.6335,0.288,0.145,0.168
nominal,1,0,0.58,0.45,0.16,0.8675,0.3935,0.221,0.215
nominal,1,0,0.585,0.465,0.155,0.9145,0.4555,0.1965,0.235
nominal,0,1,0.46,0.37,0.11,0.3965,0.1485,0.0855,0.1455
nominal,1,0,0.445,0.37,0.125,0.515,0.2495,0.087,0.159
nominal,0,0,0.55,0.43,0.14,0.8105,0.368,0.161,0.275
nominal,1,0,0.42,0.335,0.115,0.369,0.171,0.071,0.12
nominal,0,0,0.605,0.47,0.165,1.1775,0.611,0.2275,0.292
nominal,1,0,0.485,0.39,0.085,0.6435,0.2945,0.103,0.198
nominal,1,0,0.57,0.435,0.13,0.7535,0.349,0.1755,0.194
nominal,0,1,0.555,0.425,0.145,0.7905,0.3485,0.1765,0.225
nominal,0,0,0.475,0.39,0.12,0.5305,0.2135,0.1155,0.17
nominal,0,0,0.61,0.495,0.165,1.0835,0.4525,0.273,0.317
nominal,0,1,0.565,0.43,0.125,0.6545,0.2815,0.139,0.21
nominal,1,0,0.57,0.44,0.095,0.827,0.3395,0.2215,0.235
nominal,1,0,0.56,0.45,0.155,0.9125,0.3595,0.271,0.35
nominal,0,0,0.6,0.45,0.14,0.837,0.37,0.177,0.2425
nominal,1,0,0.295,0.23,0.085,0.125,0.042,0.0285,0.043
nominal,0,0,0.47,0.36,0.13,0.472,0.182,0.114,0.15
nominal,0,0,0.455,0.355,1.13,0.594,0.332,0.116,0.1335
nominal,1,0,0.45,0.35,0.1,0.3675,0.1465,0.1015,0.12
nominal,1,0,0.66,0.535,0.19,1.5905,0.6425,0.297,0.5175
nominal,0,1,0.51,0.455,0.135,0.6855,0.2875,0.154,0.2035
nominal,0,1,0.585,0.45,0.15,0.8915,0.3975,0.2035,0.253
nominal,1,0,0.565,0.45,0.155,1.0595,0.4735,0.24,0.265
nominal,0,1,0.45,0.35,0.13,0.547,0.245,0.1405,0.1405
nominal,0,1,0.495,0.38,0.145,0.5,0.205,0.148,0.1505
nominal,1,0,0.625,0.47,0.175,1.179,0.605,0.258,0.271
nominal,1,0,0.66,0.485,0.155,1.2275,0.61,0.274,0.3
nominal,0,0,0.56,0.455,0.16,0.967,0.4525,0.207,0.274
nominal,0,0,0.72,0.58,0.195,2.103,1.0265,0.48,0.5375
nominal,1,0,0.6,0.475,0.15,0.99,0.386,0.2195,0.3105
nominal,1,0,0.56,0.44,0.16,0.8645,0.3305,0.2075,0.26
nominal,0,0,0.645,0.525,0.17,1.37,0.6135,0.283,0.34
nominal,0,1,0.56,0.425,0.14,0.9175,0.4005,0.1975,0.26
nominal,1,0,0.63,0.49,0.155,1.2525,0.63,0.246,0.289
nominal,0,0,0.5,0.38,0.14,0.6355,0.277,0.143,0.1785
nominal,1,0,0.44,0.375,0.13,0.487,0.226,0.0965,0.155
nominal,0,1,0.495,0.385,0.125,0.5125,0.2075,0.1155,0.172
nominal,1,0,0.45,0.34,0.13,0.3715,0.1605,0.0795,0.105
nominal,0,1,0.56,0.425,0.145,0.688,0.3095,0.1305,0.2165
nominal,1,0,0.6,0.41,0.145,0.939,0.4475,0.196,0.268
nominal,0,1,0.445,0.33,0.11,0.358,0.1525,0.067,0.1185
nominal,0,0,0.635,0.495,0.175,1.2355,0.5205,0.3085,0.347
nominal,0,0,0.47,0.36,0.1,0.4705,0.1635,0.089,0.1385
nominal,0,0,0.625,0.5,0.165,1.288,0.573,0.3035,0.315
nominal,0,1,0.44,0.35,0.125,0.456,0.21,0.0955,0.131
nominal,1,0,0.62,0.48,0.165,1.0855,0.481,0.2575,0.305
anomaly,0,1,0.16,0.11,0.025,0.018,0.0065,0.0055,0.005
nominal,0,1,0.4,0.315,0.09,0.3245,0.151,0.073,0.088
nominal,0,1,0.62,0.47,0.14,0.8565,0.3595,0.16,0.295
nominal,0,1,0.515,0.405,0.13,0.573,0.213,0.134,0.195
nominal,1,0,0.425,0.335,0.1,0.4085,0.1755,0.092,0.135
nominal,0,0,0.615,0.475,0.155,1.004,0.4475,0.193,0.2895
nominal,0,1,0.57,0.44,0.13,0.7665,0.347,0.1785,0.202
nominal,0,1,0.495,0.4,0.105,0.602,0.2505,0.1265,0.19
nominal,0,1,0.485,0.365,0.105,0.5205,0.195,0.123,0.182
nominal,0,0,0.55,0.43,0.14,0.84,0.375,0.218,0.1945
nominal,1,0,0.645,0.51,0.195,1.226,0.5885,0.2215,0.3745
nominal,1,0,0.685,0.55,0.19,1.885,0.89,0.41,0.4895
nominal,0,0,0.525,0.415,0.14,0.724,0.3475,0.173,0.175
nominal,0,1,0.58,0.46,0.14,0.8295,0.3915,0.165,0.238
nominal,1,0,0.585,0.475,0.15,1.065,0.5315,0.199,0.2885
nominal,1,0,0.635,0.51,0.17,1.3555,0.619,0.305,0.39
nominal,0,1,0.545,0.42,0.165,0.8935,0.4235,0.2195,0.228
nominal,0,0,0.4,0.32,0.11,0.353,0.1405,0.0985,0.1
nominal,1,0,0.615,0.47,0.165,1.128,0.4465,0.2195,0.34
nominal,1,0,0.425,0.35,0.105,0.393,0.13,0.063,0.165
nominal,0,0,0.595,0.46,0.16,0.921,0.4005,0.2025,0.2875
nominal,1,0,0.65,0.515,0.125,1.1805,0.5235,0.283,0.3275
nominal,0,0,0.66,0.53,0.17,1.431,0.622,0.309,0.398
nominal,1,0,0.63,0.455,0.15,1.1315,0.481,0.2745,0.305
nominal,1,0,0.59,0.47,0.18,1.187,0.5985,0.227,0.31
nominal,0,0,0.63,0.505,0.195,1.306,0.516,0.3305,0.375
nominal,1,0,0.55,0.43,0.13,0.8395,0.3155,0.1955,0.2405
nominal,0,1,0.455,0.355,0.08,0.452,0.2165,0.0995,0.125
nominal,1,0,0.49,0.38,0.14,0.7605,0.245,0.167,0.185
nominal,0,0,0.47,0.365,0.105,0.4205,0.163,0.1035,0.14
nominal,0,1,0.455,0.325,0.135,0.82,0.4005,0.1715,0.211
nominal,0,1,0.58,0.445,0.125,0.7095,0.303,0.1405,0.235
anomaly,0,1,0.11,0.09,0.03,0.008,0.0025,0.002,0.003
nominal,1,0,0.58,0.46,0.155,1.4395,0.6715,0.273,0.2955
nominal,0,0,0.66,0.53,0.18,1.5175,0.7765,0.302,0.401
nominal,1,0,0.41,0.3,0.1,0.301,0.124,0.069,0.09
nominal,0,0,0.64,0.515,0.205,1.5335,0.6635,0.3345,0.4025
nominal,0,0,0.495,0.41,0.125,0.7555,0.3355,0.129,0.214
nominal,0,0,0.525,0.425,0.14,0.8735,0.4205,0.182,0.2225
nominal,0,1,0.53,0.415,0.11,0.5745,0.2525,0.1235,0.189
nominal,0,1,0.47,0.37,0.14,0.4985,0.2095,0.1225,0.145
nominal,0,0,0.66,0.5,0.175,1.3275,0.556,0.2805,0.4085
nominal,0,0,0.545,0.385,0.15,1.1185,0.5425,0.2445,0.2845
nominal,0,1,0.36,0.275,0.11,0.2335,0.095,0.0525,0.085
nominal,1,0,0.63,0.485,0.155,1.278,0.637,0.275,0.31
nominal,0,0,0.545,0.435,0.15,0.6855,0.2905,0.145,0.225
nominal,0,1,0.48,0.355,0.115,0.4725,0.2065,0.112,0.132
nominal,0,1,0.42,0.345,0.115,0.3435,0.1515,0.0795,0.115
nominal,0,0,0.575,0.45,0.135,0.8285,0.362,0.1655,0.236
nominal,0,1,0.475,0.355,0.125,0.4865,0.2155,0.1105,0.142
nominal,1,0,0.55,0.435,0.14,0.7625,0.327,0.1685,0.259
nominal,0,0,0.63,0.49,0.225,1.336,0.6805,0.259,0.3245
nominal,1,0,0.51,0.39,0.125,0.6565,0.262,0.1835,0.175
nominal,0,0,0.7,0.525,0.19,1.6465,0.8545,0.307,0.3995
nominal,0,1,0.64,0.49,0.135,1.1,0.488,0.2505,0.2925
nominal,1,0,0.35,0.26,0.09,0.195,0.0745,0.041,0.0655
nominal,1,0,0.64,0.525,0.18,1.3135,0.4865,0.2995,0.4075
nominal,0,0,0.615,0.515,0.135,1.1215,0.545,0.2305,0.29
nominal,1,0,0.48,0.365,0.13,0.5305,0.2405,0.127,0.139
nominal,1,0,0.65,0.51,0.155,1.407,0.7215,0.298,0.335
nominal,0,0,0.51,0.385,0.135,0.632,0.282,0.145,0.17
nominal,1,0,0.475,0.37,0.125,0.5095,0.2165,0.1125,0.165
nominal,0,1,0.485,0.355,0.105,0.498,0.2175,0.096,0.1525
nominal,0,0,0.645,0.515,0.175,1.546,0.7035,0.365,0.415
nominal,0,0,0.345,0.255,0.1,0.197,0.071,0.051,0.06
nominal,1,0,0.645,0.505,0.15,1.1605,0.519,0.2615,0.335
nominal,0,1,0.46,0.365,0.11,0.4495,0.1755,0.102,0.15
nominal,0,1,0.54,0.42,0.14,0.7265,0.3205,0.1445,0.229
nominal,0,1,0.59,0.45,0.125,0.86,0.437,0.1515,0.245
nominal,0,1,0.43,0.315,0.095,0.378,0.175,0.08,0.1045
nominal,0,1,0.385,0.3,0.09,0.308,0.1525,0.056,0.0835
nominal,0,0,0.515,0.415,0.14,0.6935,0.3115,0.152,0.2
nominal,1,0,0.65,0.52,0.155,1.368,0.6185,0.288,0.365
nominal,0,0,0.635,0.5,0.165,1.4595,0.705,0.2645,0.39
nominal,1,0,0.46,0.35,0.12,0.515,0.224,0.108,0.1565
nominal,0,1,0.28,0.205,0.08,0.127,0.052,0.039,0.042
nominal,1,0,0.6,0.47,0.15,0.928,0.4225,0.183,0.275
nominal,1,0,0.415,0.315,0.115,0.3895,0.2015,0.065,0.103
nominal,0,1,0.495,0.375,0.12,0.589,0.3075,0.1215,0.1405
nominal,0,0,0.55,0.43,0.15,0.655,0.2635,0.122,0.221
nominal,0,1,0.55,0.415,0.145,0.7815,0.373,0.16,0.2215
nominal,0,0,0.65,0.51,0.185,1.375,0.531,0.384,0.3985
nominal,1,0,0.57,0.435,0.145,0.9055,0.3925,0.2355,0.275
nominal,1,0,0.5,0.38,0.125,0.577,0.269,0.1265,0.1535
nominal,0,1,0.52,0.395,0.135,0.633,0.2985,0.1295,0.175
nominal,0,1,0.565,0.465,0.15,1.1815,0.581,0.2215,0.3095
nominal,1,0,0.54,0.415,0.17,0.879,0.339,0.208,0.255
nominal,1,0,0.53,0.405,0.13,0.738,0.2845,0.17,0.193
nominal,0,0,0.675,0.51,0.195,1.382,0.6045,0.3175,0.3965
nominal,0,0,0.605,0.455,0.145,0.9775,0.468,0.1775,0.275
nominal,1,0,0.575,0.445,0.145,0.876,0.3795,0.1615,0.27
nominal,0,1,0.46,0.335,0.11,0.444,0.225,0.0745,0.11
nominal,0,0,0.645,0.48,0.17,1.1345,0.528,0.254,0.305
nominal,1,0,0.64,0.51,0.17,1.3715,0.567,0.307,0.409
nominal,0,0,0.55,0.47,0.15,0.897,0.377,0.184,0.29
nominal,0,0,0.655,0.525,0.175,1.348,0.5855,0.2605,0.394
nominal,0,1,0.52,0.4,0.14,0.622,0.278,0.1455,0.169
nominal,1,0,0.465,0.405,0.135,0.7775,0.436,0.1715,0.1455
