label,x1,x2,x3,x4,x5,x6,x7,x8
nominal,73.2,61.2,1017.7,12.0,4.7,13.0,86.0,60.1
nominal,82.4,73.6,1015.5,14.0,11.8,18.1,91.9,73.9
nominal,83.1,74.0,1012.0,12.9,12.7,17.1,93.0,73.9
nominal,82.4,77.6,1010.8,12.9,12.5,17.1,91.9,75.0
nominal,67.9,60.7,1021.0,14.1,6.2,10.1,78.1,55.9
nominal,72.6,63.8,1019.4,11.7,5.9,17.1,86.0,62.1
nominal,69.0,60.8,1017.0,11.1,10.2,22.0,80.1,57.0
nominal,70.3,61.3,1019.2,10.7,2.2,8.9,82.0,55.9
nominal,72.8,63.0,1020.0,12.3,3.0,11.1,84.9,57.9
nominal,77.1,67.5,1018.9,13.1,8.7,13.0,90.0,64.9
nominal,79.5,68.9,1018.5,11.4,5.1,10.1,91.9,66.0
nominal,81.1,71.2,1017.8,12.0,5.9,13.0,91.9,70.0
nominal,81.8,73.3,1014.2,13.6,10.9,18.1,91.0,70.0
nominal,81.7,74.7,1013.0,12.8,8.6,15.9,93.0,72.0
anomaly,82.4,75.9,1012.4,13.7,7.3,22.0,93.0,72.0
anomaly,78.7,74.1,1012.8,13.3,9.9,17.1,88.0,72.0
nominal,75.7,71.2,1013.5,8.4,5.0,13.0,84.0,71.1
nominal,78.3,72.7,1015.4,3.7,1.7,8.9,91.9,70.0
anomaly,68.5,66.5,1010.0,6.2,5.9,15.9,79.0,64.9
nominal,66.3,57.3,1022.5,11.8,4.1,12.0,77.0,55.9
nominal,69.7,60.9,1019.1,12.2,8.3,15.0,82.9,59.0
nominal,73.3,61.8,1015.6,14.0,8.5,15.9,88.0,60.1
nominal,75.8,63.5,1015.3,14.5,10.3,22.0,89.1,64.0
nominal,76.6,65.0,1017.1,12.4,9.9,15.9,89.1,64.9
nominal,78.3,64.6,1014.5,11.2,11.2,17.1,90.0,66.0
nominal,69.6,59.9,1017.6,10.4,3.1,8.9,82.9,57.0
nominal,73.5,61.0,1016.4,12.0,4.2,12.0,86.0,64.0
nominal,63.8,49.5,1016.8,12.8,7.8,27.0,73.0,55.0
nominal,60.6,47.3,1022.0,12.3,5.8,13.0,78.1,45.0
nominal,66.9,50.9,1017.1,14.3,11.0,17.1,82.0,53.1
nominal,75.4,62.2,1010.2,12.2,14.2,22.0,86.0,66.9
nominal,63.7,56.5,1016.9,13.2,7.7,15.0,73.0,54.0
anomaly,62.9,58.0,1018.9,9.8,7.3,18.1,64.9,60.1
nominal,60.9,52.8,1023.2,9.6,2.6,10.1,75.9,48.9
nominal,50.3,44.7,1023.5,11.7,10.2,22.0,64.9,37.9
nominal,55.0,50.3,1022.4,11.9,3.1,13.0,62.1,48.9
nominal,56.4,49.9,1018.3,12.5,10.4,22.0,70.0,46.0
nominal,62.1,57.3,1011.2,12.8,13.2,22.0,77.0,53.1
nominal,63.1,56.4,1014.9,10.9,3.6,15.0,77.0,46.0
nominal,60.8,50.0,1021.1,12.2,3.5,11.1,81.0,45.0
nominal,69.4,58.2,1015.7,13.3,10.3,22.9,89.1,55.9
nominal,65.1,55.6,1019.4,12.4,8.6,15.0,82.0,54.0
nominal,61.4,49.1,1018.2,12.8,7.8,26.0,72.0,51.1
nominal,55.9,45.7,1023.3,11.8,6.8,10.1,71.1,41.0
nominal,58.9,49.4,1022.6,12.0,4.8,17.1,77.0,46.0
nominal,64.1,54.2,1016.9,14.8,13.2,25.1,78.1,51.1
nominal,57.1,49.3,1018.0,14.7,3.1,15.0,70.0,48.0
nominal,50.5,44.0,1022.6,12.6,7.3,13.0,62.1,37.9
nominal,48.6,42.2,1023.0,12.1,4.7,13.0,66.0,33.1
nominal,56.6,44.5,1020.2,13.4,11.9,26.0,73.0,44.1
nominal,63.4,52.3,1016.5,11.1,10.1,17.1,73.0,54.0
nominal,68.5,60.1,1014.0,10.5,7.7,13.0,84.0,57.9
nominal,67.3,59.9,1014.5,10.8,10.9,17.1,75.9,63.0
nominal,77.1,70.0,1005.0,13.5,18.0,22.0,88.0,66.9
nominal,58.7,54.4,1016.0,11.9,5.9,20.0,73.0,53.1
anomaly,67.8,59.4,998.8,11.3,17.4,35.0,73.0,59.0
anomaly,57.1,48.5,1010.1,14.0,6.7,22.0,66.0,50.0
nominal,54.2,45.7,1016.5,12.5,2.3,10.1,77.0,41.0
nominal,60.0,48.8,1018.9,13.6,1.4,8.9,77.0,46.9
nominal,53.2,45.2,1023.9,10.6,3.8,12.0,69.1,37.9
nominal,60.7,53.2,1015.2,14.1,11.3,25.1,75.9,50.0
nominal,63.3,54.4,1015.8,14.3,7.2,15.0,77.0,52.0
anomaly,53.9,52.7,1012.6,3.5,7.1,13.0,69.1,48.0
anomaly,42.6,38.5,1014.3,9.8,11.8,20.0,48.0,37.0
nominal,45.0,35.3,1019.1,13.8,9.0,22.9,66.0,33.1
nominal,50.0,40.8,1024.1,14.9,9.2,17.1,57.9,42.1
nominal,41.6,33.4,1032.0,13.3,3.6,10.1,50.0,30.0
nominal,46.0,37.9,1022.3,13.9,10.1,18.1,57.0,39.9
nominal,41.5,35.7,1028.4,12.4,4.7,17.1,57.0,30.0
nominal,54.1,45.2,1021.1,13.5,12.4,17.1,72.0,43.0
nominal,55.8,49.2,1019.8,11.5,2.0,8.9,72.0,45.0
nominal,58.4,50.4,1015.1,11.6,5.4,10.1,72.0,50.0
nominal,47.0,36.0,1021.4,11.7,13.1,25.1,57.0,39.0
nominal,34.1,25.3,1026.8,13.5,6.0,18.1,52.0,21.9
nominal,51.9,38.1,1012.0,14.9,10.7,19.0,70.0,42.1
nominal,45.2,34.5,1019.2,14.9,14.3,30.1,57.0,37.9
nominal,39.4,31.2,1023.7,14.3,6.3,15.0,63.0,26.1
nominal,48.9,40.5,1018.6,13.0,8.6,15.0,60.1,37.9
nominal,39.0,31.9,1031.0,12.4,4.8,13.0,55.0,26.1
nominal,48.8,40.1,1024.7,14.0,1.9,8.9,73.0,35.1
nominal,55.5,46.4,1016.1,14.4,3.8,17.1,78.1,41.0
nominal,54.6,45.4,1009.2,12.1,3.6,13.0,70.0,39.0
nominal,59.9,51.2,1003.5,14.8,10.1,15.0,69.1,51.1
nominal,54.7,47.3,1002.5,11.4,1.5,10.1,72.0,43.0
nominal,56.2,49.0,1001.0,12.7,4.5,15.0,70.0,44.1
nominal,48.2,38.2,1014.1,12.7,10.8,25.1,68.0,36.0
nominal,48.2,37.9,1015.3,14.9,10.1,26.0,59.0,39.9
nominal,39.5,29.7,1015.7,14.9,11.0,22.9,51.1,32.0
nominal,42.6,31.7,1018.0,14.0,15.5,35.9,46.9,39.0
nominal,39.5,31.5,1026.0,14.9,13.1,22.0,48.9,30.9
nominal,33.4,26.4,1026.4,13.6,7.3,17.1,51.1,21.9
nominal,50.5,40.6,1009.4,14.9,5.9,19.0,72.0,37.9
nominal,46.2,36.7,1015.9,13.6,16.2,32.1,57.9,34.0
nominal,32.6,24.9,1030.2,12.1,16.3,30.1,39.0,27.0
nominal,34.4,21.6,1022.6,14.9,9.6,15.9,55.0,21.0
nominal,41.8,30.7,1015.4,13.4,4.3,13.0,48.0,35.1
nominal,35.9,28.5,1018.6,14.2,4.9,10.1,48.0,28.9
nominal,47.2,33.7,1007.1,14.9,13.5,26.0,66.0,37.0
nominal,43.6,34.0,1009.8,11.7,8.8,18.1,55.0,35.1
nominal,51.4,42.2,1002.3,12.1,8.8,15.0,64.0,41.0
nominal,48.5,39.5,1013.8,14.5,8.0,22.9,60.1,35.1
nominal,44.1,31.4,1020.5,14.9,6.9,10.1,57.9,33.1
nominal,45.2,34.3,1017.9,13.3,12.3,22.0,50.0,39.0
nominal,37.8,27.7,1023.3,12.3,10.6,25.1,53.1,30.0
nominal,47.5,35.8,1014.2,10.9,11.3,20.0,54.0,42.1
nominal,38.9,26.8,1028.0,13.3,8.6,19.0,48.9,28.9
nominal,33.6,21.3,1025.6,11.5,6.0,17.1,45.0,19.9
nominal,39.9,28.5,1007.9,14.1,11.7,21.0,54.0,28.9
nominal,31.1,19.0,1021.1,12.8,16.0,25.1,45.0,24.1
nominal,17.7,9.1,1033.4,12.9,6.8,10.1,25.0,14.0
nominal,22.9,17.5,1023.5,7.1,13.6,22.0,30.0,19.0
nominal,16.5,4.5,1021.9,12.8,10.3,26.0,27.0,10.9
nominal,18.9,9.2,1031.8,13.9,7.3,15.0,23.0,14.0
nominal,16.0,7.8,1036.8,13.1,2.5,15.0,30.9,7.0
nominal,26.1,15.6,1026.6,14.9,9.9,17.1,44.1,16.0
nominal,35.8,26.9,1012.3,12.3,16.8,27.0,50.0,28.9
nominal,39.4,31.1,1008.5,10.7,10.4,18.1,46.0,33.1
nominal,31.2,23.9,1014.1,7.4,5.0,15.0,46.9,21.0
nominal,37.6,36.2,1014.6,2.4,7.9,17.1,42.1,32.0
nominal,14.9,7.6,1013.3,8.9,12.8,17.1,19.0,12.0
nominal,18.5,10.6,1015.8,8.6,15.0,22.9,19.9,15.1
nominal,13.8,5.6,1022.4,14.4,8.9,17.1,30.0,5.0
nominal,18.7,10.4,1024.9,10.8,15.0,40.0,39.9,8.1
nominal,30.2,21.5,1016.1,10.9,19.0,30.1,39.9,19.0
nominal,14.5,4.4,1022.2,12.0,5.7,21.0,27.0,5.0
nominal,28.0,19.1,1019.7,12.6,4.5,10.1,44.1,18.0
nominal,35.3,25.3,1023.5,13.5,7.7,18.1,48.9,26.1
nominal,29.6,23.5,1027.8,14.9,4.6,10.1,39.9,19.9
nominal,41.1,37.6,1023.9,7.1,5.7,13.0,44.1,37.0
nominal,-1.3,-11.1,1019.6,9.8,15.6,25.1,7.0,-7.1
nominal,4.2,-6.2,1029.7,11.0,7.4,8.9,16.0,-2.0
nominal,15.1,5.4,1025.4,11.1,2.3,10.1,30.9,7.0
nominal,23.1,14.5,1032.8,11.9,6.5,17.1,34.0,12.9
nominal,34.8,26.6,1021.2,14.9,17.4,26.0,46.9,28.9
nominal,36.6,31.3,1005.7,12.2,10.9,15.9,46.9,30.9
nominal,25.2,14.9,1015.0,11.9,15.7,30.1,42.1,10.9
nominal,24.6,16.7,1027.3,11.9,10.3,22.0,39.0,17.1
nominal,36.3,30.7,1013.1,11.2,10.4,19.0,42.1,28.0
nominal,11.5,4.9,1021.2,10.4,8.0,17.1,35.1,1.9
nominal,22.6,14.7,1009.6,10.8,15.9,30.1,43.0,3.9
nominal,15.3,8.3,1029.2,11.5,6.0,11.1,39.9,3.9
nominal,28.5,21.8,1017.0,9.9,11.6,26.0,37.9,10.9
nominal,6.9,-4.3,1026.7,9.9,7.6,17.1,14.0,3.9
nominal,16.7,8.1,1030.2,8.8,0.4,8.9,28.9,10.9
nominal,25.2,17.5,1030.2,12.0,5.6,13.0,43.0,16.0
nominal,33.4,27.4,1019.8,7.9,3.6,13.0,46.9,25.0
nominal,35.6,29.2,1013.0,7.4,1.0,7.0,46.0,26.1
nominal,3.0,-3.4,1013.7,4.2,13.1,25.1,10.9,-0.9
nominal,-6.9,-16.6,1036.0,9.4,8.1,13.0,0.0,-14.1
nominal,5.5,-3.9,1035.7,11.5,6.1,12.0,30.0,-9.9
nominal,31.9,23.7,1010.4,11.8,9.1,22.0,50.0,24.1
nominal,4.7,-6.0,1022.1,11.6,15.2,30.1,14.0,0.0
nominal,4.1,-3.2,1031.3,6.3,7.4,15.0,9.0,0.0
nominal,2.8,-4.1,1027.6,7.5,3.8,10.1,17.1,-11.0
nominal,8.3,-1.4,1029.3,8.6,0.2,4.1,21.0,-8.0
nominal,11.1,3.0,1031.1,10.0,1.4,8.9,26.1,3.0
nominal,20.5,9.9,1030.6,14.7,3.1,15.9,39.0,10.0
nominal,24.3,17.5,1030.3,7.2,1.4,8.9,45.0,10.0
nominal,38.8,32.5,1019.2,6.8,6.0,14.0,44.1,35.1
nominal,35.9,33.1,1017.4,3.6,1.2,6.0,48.0,28.9
nominal,34.8,30.9,1019.7,4.6,4.7,13.0,39.9,32.0
nominal,33.9,26.0,1019.9,10.0,3.2,14.0,52.0,24.1
nominal,36.7,30.4,1016.5,11.4,0.6,8.9,46.9,28.9
nominal,33.4,27.8,1020.1,12.6,3.3,14.0,41.0,28.0
anomaly,33.4,31.6,1017.4,5.2,11.1,20.0,34.0,30.9
nominal,24.1,21.1,1019.6,2.5,15.9,21.0,30.9,21.0
nominal,22.5,18.2,1018.8,6.2,11.9,19.0,26.1,19.9
nominal,18.4,12.8,1022.7,10.4,8.8,14.0,26.1,10.0
nominal,13.1,5.6,1027.5,11.5,0.6,4.1,30.0,0.0
nominal,30.5,21.2,1019.6,10.1,2.3,12.0,44.1,21.9
nominal,23.7,17.3,1026.2,12.8,18.6,26.0,39.9,15.1
nominal,18.9,11.8,1031.1,11.2,6.1,15.0,37.9,8.1
nominal,36.7,28.7,1017.8,14.9,3.2,8.9,52.0,30.0
nominal,30.5,27.1,1010.3,6.1,8.9,17.1,37.9,27.0
nominal,23.9,16.9,1014.8,10.6,6.4,13.0,39.9,12.0
nominal,30.6,23.8,1009.2,10.0,3.8,13.0,36.0,24.1
nominal,16.4,8.7,1019.8,12.0,14.2,19.0,28.9,10.0
nominal,15.6,7.8,1024.4,14.3,10.5,14.0,21.9,12.0
nominal,15.2,7.3,1033.5,14.9,7.6,13.0,27.0,8.1
nominal,32.1,24.8,1018.0,12.7,8.0,13.0,53.1,23.0
nominal,27.5,18.6,1028.3,14.9,15.7,30.1,32.0,19.0
nominal,12.8,1.8,1035.8,14.0,12.4,22.0,24.1,5.0
nominal,32.0,24.6,1019.8,10.2,7.5,14.0,46.0,24.1
nominal,43.6,30.3,1017.3,12.4,2.8,8.9,68.0,28.9
nominal,48.2,36.7,1016.8,11.5,2.5,12.0,64.9,30.9
nominal,52.8,39.8,1006.5,14.9,12.6,26.0,72.0,41.0
nominal,44.0,33.8,988.2,9.7,18.0,40.0,64.9,21.0
nominal,14.8,6.8,1018.2,7.3,26.7,49.0,23.0,10.0
nominal,22.6,13.5,1027.0,13.3,8.0,18.1,34.0,18.0
nominal,11.9,5.1,1027.6,10.4,11.6,18.1,21.0,6.1
nominal,16.9,6.9,1027.1,11.0,8.5,14.0,30.0,9.0
nominal,33.3,16.9,1018.5,14.9,5.0,12.0,48.9,25.0
nominal,34.8,23.3,1016.8,13.5,5.5,13.0,43.0,28.0
nominal,40.3,31.2,1012.1,14.5,7.5,18.1,52.0,32.0
nominal,30.0,18.4,1019.2,14.9,13.6,17.1,34.0,27.0
nominal,32.8,29.3,1014.0,1.9,3.6,13.0,36.0,30.0
nominal,36.2,27.2,1017.1,10.2,7.0,13.0,52.0,26.1
nominal,45.4,29.7,1010.1,13.0,7.1,22.0,59.0,37.9
nominal,45.7,31.2,1011.4,14.9,8.8,17.1,55.0,37.0
nominal,44.7,35.5,1010.6,14.0,11.6,24.1,55.0,37.0
nominal,59.7,51.1,986.8,9.9,21.8,40.0,75.0,48.0
nominal,31.0,25.9,999.0,6.1,15.4,26.0,34.0,28.9
nominal,30.2,23.7,1023.5,10.3,9.8,18.1,39.0,24.1
nominal,40.3,24.5,1028.1,14.9,2.0,7.0,64.0,26.1
nominal,53.0,31.7,1011.0,14.4,7.2,26.0,66.0,44.1
nominal,42.2,26.3,1017.3,14.9,10.0,26.0,54.0,34.0
nominal,53.6,32.4,1003.0,14.9,10.4,17.1,66.0,46.0
nominal,36.6,27.3,1019.1,12.5,15.3,26.0,45.0,30.0
nominal,36.8,21.7,1030.4,14.9,11.6,17.1,46.9,28.9
nominal,39.0,24.1,1029.0,13.5,9.5,22.0,55.0,27.0
nominal,51.9,33.2,1014.2,12.1,7.8,17.1,69.1,39.0
nominal,46.0,35.8,1017.6,9.9,11.9,22.0,66.0,34.0
nominal,50.9,43.9,1009.0,8.3,16.8,22.0,72.0,41.0
nominal,39.0,23.8,1023.5,11.7,17.7,30.1,51.1,34.0
nominal,35.2,24.1,1029.5,10.3,9.3,19.0,45.0,28.0
nominal,30.0,14.0,1031.4,14.9,5.9,14.0,43.0,18.0
nominal,37.9,15.0,1027.7,12.1,0.1,2.9,55.0,24.1
nominal,48.0,20.8,1024.5,13.8,4.8,14.0,64.9,34.0
anomaly,58.6,47.6,1014.0,12.1,3.5,12.0,70.0,50.0
nominal,46.2,27.3,1020.9,14.5,10.6,22.0,55.0,37.0
nominal,44.1,22.9,1022.1,14.9,8.4,17.1,57.0,32.0
nominal,51.5,34.3,1014.8,12.8,4.5,13.0,72.0,37.0
nominal,65.9,45.6,1007.4,14.2,6.4,20.0,89.1,45.0
anomaly,54.1,49.0,1001.0,9.0,8.8,15.9,75.0,42.1
nominal,39.0,28.0,1012.5,13.3,5.1,15.0,51.1,30.0
nominal,40.4,24.0,1019.1,14.9,5.3,13.0,51.1,28.0
nominal,40.4,34.9,1021.3,10.9,9.1,17.1,48.9,34.0
nominal,44.7,33.4,1021.1,14.4,2.2,10.1,57.9,37.0
nominal,71.0,66.5,999.1,6.0,7.6,15.0,89.1,61.0
nominal,56.1,42.2,1010.3,14.9,7.1,20.0,71.1,45.0
nominal,55.7,38.5,1021.0,14.5,12.0,20.0,69.1,45.0
nominal,55.5,43.6,1020.4,14.0,3.3,13.0,64.9,48.0
nominal,58.6,47.0,1024.0,12.9,3.1,8.9,71.1,45.0
nominal,64.5,49.6,1017.6,14.9,4.8,12.0,77.0,54.0
nominal,64.8,52.7,1011.5,14.4,1.0,8.9,75.9,55.9
nominal,68.1,52.8,1007.6,14.7,0.5,13.0,82.0,52.0
nominal,65.9,45.8,1010.6,14.9,4.4,10.1,75.9,51.1
nominal,68.6,53.0,1014.1,12.3,1.5,8.9,84.0,53.1
